city,country,q10,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Olomouc,Czechia,0.977485203,16.9755,49.7558,14,Cfa,"Temperate, no dry season, hot summer",101268,Medium (50k-500k)
Kohtla-Järve,Estonia,0.613507745,27.039167,59.38389,14,Cfa,"Temperate, no dry season, hot summer",46060,Small (<50k)
Okayama,Japan,0.003589914,133.96388,34.73861,14,Cfa,"Temperate, no dry season, hot summer",866092,Large (500k-1M)
Takamatsu,Japan,9.086392448,134.09,34.71,14,Cfa,"Temperate, no dry season, hot summer",866092,Large (500k-1M)
Tokushima,Japan,0.331744691,134.62,33.94,14,Cfa,"Temperate, no dry season, hot summer",443760,Medium (50k-500k)
Toyama,Japan,0.035016664,137.05,36.73,14,Cfa,"Temperate, no dry season, hot summer",170077,Medium (50k-500k)
Takaoka,Japan,0.035016664,137.05,36.73,14,Cfa,"Temperate, no dry season, hot summer",170077,Medium (50k-500k)
Ōtsu,Japan,4.0380114,135.91,34.97,14,Cfa,"Temperate, no dry season, hot summer",536976,Large (500k-1M)
Maebashi,Japan,3.360307944,139.08,36.29,14,Cfa,"Temperate, no dry season, hot summer",344871,Medium (50k-500k)
Kawasaki,Japan,4.027855024,139.53,35.64,14,Cfa,"Temperate, no dry season, hot summer",579399,Large (500k-1M)
Kawagoe,Japan,8.482152005,139.51,36.19,14,Cfa,"Temperate, no dry season, hot summer",337931,Medium (50k-500k)
Utsunomiya,Japan,0.075497114,139.82,36.61,14,Cfa,"Temperate, no dry season, hot summer",667752,Large (500k-1M)
Hachiōji,Japan,4.027855024,139.53,35.64,14,Cfa,"Temperate, no dry season, hot summer",579399,Large (500k-1M)
Kōriyama,Japan,0.013434919,140.40944,37.512222,14,Cfa,"Temperate, no dry season, hot summer",340560,Medium (50k-500k)
Angers,France,0.662364724,-0.632799,47.315247,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",188380,Medium (50k-500k)
Perpignan,France,3.716712089,2.985749,42.52474,6,BSh,"Arid, steppe, hot",146620,Medium (50k-500k)
Melun,France,1.63091222,2.787907,48.336784,14,Cfa,"Temperate, no dry season, hot summer",249432,Medium (50k-500k)
Besançon,France,0.8303857,6.180271,47.414955,14,Cfa,"Temperate, no dry season, hot summer",128426,Medium (50k-500k)
San Bernardo,Chile,0.67742184,-70.8836,-33.8111,6,BSh,"Arid, steppe, hot",246762,Medium (50k-500k)
Nueva Imperial,Chile,0.389650879,-73.0828,-39.0144,9,Csb,"Temperate, dry summer, warm summer",2293,Small (<50k)
Loncoche,Chile,1.142510469,-72.9,-39.55,9,Csb,"Temperate, dry summer, warm summer",15590,Small (<50k)
Toltén,Chile,0.389650879,-73.0828,-39.0144,9,Csb,"Temperate, dry summer, warm summer",2293,Small (<50k)
Linares,Chile,0.291618038,-71.7333,-35.4525,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",197479,Medium (50k-500k)
Kutaisi,Georgia,0.089215372,42.705555,42.420555,14,Cfa,"Temperate, no dry season, hot summer",183945,Medium (50k-500k)
Beer Sheva,Israel,11.49044752,34.74,31.22,4,BWh,"Arid, desert, hot",206408,Medium (50k-500k)
Pori,Finland,0.156504379,21.7427,61.6734,15,Cfb,"Temperate, no dry season, warm summer",76772,Medium (50k-500k)
Viborg,Denmark,14.74204608,9.49278,56.57313,15,Cfb,"Temperate, no dry season, warm summer",34831,Small (<50k)
Grajau,Brazil,3.818093047,-46.1444,-5.82181,3,Aw,"Tropical, savannah",30217,Small (<50k)
Itapecuru Mirim,Brazil,67.42175987,-44.37917,-3.62778,3,Aw,"Tropical, savannah",34943,Small (<50k)
Santa Inês,Brazil,32.7265329,-45.45833,-3.66111,3,Aw,"Tropical, savannah",67424,Medium (50k-500k)
Itupiranga,Brazil,0.146455496,-49.1244,-5.3386,3,Aw,"Tropical, savannah",166182,Medium (50k-500k)
Pimenta Bueno,Brazil,0.867114192,-61.1922,-11.6836,3,Aw,"Tropical, savannah",25762,Small (<50k)
Três Lagoas,Brazil,0.145123552,-51.63306,-20.86667,3,Aw,"Tropical, savannah",78712,Medium (50k-500k)
Leopoldina,Brazil,0.418226363,-42.6964,-21.3894,3,Aw,"Tropical, savannah",46742,Small (<50k)
Nova Lima,Brazil,1.842326821,-43.8228,-20.0239,3,Aw,"Tropical, savannah",88399,Medium (50k-500k)
Muriaé,Brazil,0.418226363,-42.6964,-21.3894,3,Aw,"Tropical, savannah",46742,Small (<50k)
Almenara,Brazil,0.051660553,-40.3069,-16.1386,6,BSh,"Arid, steppe, hot",29333,Small (<50k)
Cáceres,Brazil,0.183740428,-57.7022,-16.0758,3,Aw,"Tropical, savannah",85274,Medium (50k-500k)
Cachoeira do Sul,Brazil,0.002743183,-52.78333,-29.6,14,Cfa,"Temperate, no dry season, hot summer",113625,Medium (50k-500k)
Santa Cruz do Sul,Brazil,0.002743183,-52.78333,-29.6,14,Cfa,"Temperate, no dry season, hot summer",113625,Medium (50k-500k)
São Luiz Gonzaga,Brazil,0.01968142,-54.73833,-28.18139,1,Af,"Tropical, rainforest",31798,Small (<50k)
Erechim,Brazil,0.02109127,-51.90444,-27.46111,14,Cfa,"Temperate, no dry season, hot summer",55367,Medium (50k-500k)
Jacarezinho,Brazil,0.086011821,-50.28306,-23.08306,3,Aw,"Tropical, savannah",35090,Small (<50k)
Concórdia,Brazil,0.02109127,-51.90444,-27.46111,14,Cfa,"Temperate, no dry season, hot summer",55367,Medium (50k-500k)
Blumenau,Brazil,0.001808073,-49.0653,-26.9181,1,Af,"Tropical, rainforest",293949,Medium (50k-500k)
Brusque,Brazil,0.001808073,-49.0653,-26.9181,1,Af,"Tropical, rainforest",293949,Medium (50k-500k)
Jaraguá do Sul,Brazil,1.685088679,-49.0808,-26.48,1,Af,"Tropical, rainforest",130130,Medium (50k-500k)
Tubarão,Brazil,0.060565915,-49.1067,-28.4194,1,Af,"Tropical, rainforest",92275,Medium (50k-500k)
Laguna,Brazil,0.060565915,-49.1067,-28.4194,1,Af,"Tropical, rainforest",92275,Medium (50k-500k)
Russas,Brazil,1.046923375,-38.1978,-5.2275,6,BSh,"Arid, steppe, hot",39465,Small (<50k)
Sobral,Brazil,6.71126012,-40.03958,-3.75208,6,BSh,"Arid, steppe, hot",157996,Medium (50k-500k)
Iguatu,Brazil,4.263768685,-39.5086,-6.5578,6,BSh,"Arid, steppe, hot",70380,Medium (50k-500k)
Barras,Brazil,0.105193808,-42.2297,-3.9028,3,Aw,"Tropical, savannah",21597,Small (<50k)
Brumado,Brazil,1.24930145,-41.44528,-14.01472,6,BSh,"Arid, steppe, hot",41989,Small (<50k)
Jaguaquara,Brazil,15.96840644,-40.08333,-13.86667,6,BSh,"Arid, steppe, hot",135574,Medium (50k-500k)
Itapetinga,Brazil,1.149958273,-40.23333,-15.24139,6,BSh,"Arid, steppe, hot",59721,Medium (50k-500k)
Macaé,Brazil,2.762661106,-41.73917,-22.08639,3,Aw,"Tropical, savannah",143029,Medium (50k-500k)
Miracema,Brazil,5.120393834,-42.18056,-21.54222,3,Aw,"Tropical, savannah",26684,Small (<50k)
Creston,Canada,0.041334294,-116.5085,48.9963,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",4816,Small (<50k)
Cranbrook,Canada,1.55319593,-115.73556,49.910557,7,BSk,"Arid, steppe, cold",18610,Small (<50k)
Owen Sound,Canada,9.362115687,-81.25278,44.669445,14,Cfa,"Temperate, no dry season, hot summer",2182,Small (<50k)
Belleville,Canada,16.25292493,-77.32813,44.54957,25,Dfa,"Cold, no dry season, hot summer",43990,Small (<50k)
London,Canada,5.384804584,-81.65972,43.072224,14,Cfa,"Temperate, no dry season, hot summer",346765,Medium (50k-500k)
Kitchener,Canada,6.29503058,-80.71139,43.3775,14,Cfa,"Temperate, no dry season, hot summer",417001,Medium (50k-500k)
Sherbrooke,Canada,5.708477232,-71.65528,45.467224,25,Dfa,"Cold, no dry season, hot summer",139652,Medium (50k-500k)
Baie-Comeau,Canada,0.985781802,-68.4044,49.155,25,Dfa,"Cold, no dry season, hot summer",10435,Small (<50k)
Eastmain,Canada,0.764080941,-78.07,52.25,26,Dfb,"Cold, no dry season, warm summer",335,Small (<50k)
Amos,Canada,24.59819188,-78.3642,48.4056,25,Dfa,"Cold, no dry season, hot summer",10516,Small (<50k)
Joliette,Canada,0.333806375,-73.4275,46.010277,25,Dfa,"Cold, no dry season, hot summer",45361,Small (<50k)
El Maitén,Argentina,2.581277876,-71.17,-42.1,9,Csb,"Temperate, dry summer, warm summer",4269,Small (<50k)
Uspallata,Argentina,1.989143684,-69.27,-32.85,5,BWk,"Arid, desert, cold",2390,Small (<50k)
Guayaramerín,Bolivia,0.598387752,-65.3478,-10.7925,3,Aw,"Tropical, savannah",69586,Medium (50k-500k)
Ceres,Brazil,0.161016192,-49.55194,-15.27528,3,Aw,"Tropical, savannah",18759,Small (<50k)
Cristalina,Brazil,2.708402058,-47.80056,-16.5375,3,Aw,"Tropical, savannah",36531,Small (<50k)
Iporá,Brazil,3.878710734,-50.9961,-16.5125,3,Aw,"Tropical, savannah",28254,Small (<50k)
Trancas,Argentina,4.470890742,-65.22,-26.52,11,Cwa,"Temperate, dry winter, hot summer",830000,Large (500k-1M)
Rio Claro,Brazil,2.344461166,-47.15,-22.3,3,Aw,"Tropical, savannah",289665,Medium (50k-500k)
Ourinhos,Brazil,0.086011821,-50.28306,-23.08306,3,Aw,"Tropical, savannah",35090,Small (<50k)
Jundiaí,Brazil,4.291237853,-47.18333,-23.11667,3,Aw,"Tropical, savannah",320170,Medium (50k-500k)
São José dos Campos,Brazil,3.490691752,-45.9022,-23.3689,3,Aw,"Tropical, savannah",753769,Large (500k-1M)
Guaratinguetá,Brazil,2.41291854,-45.4272,-22.4428,3,Aw,"Tropical, savannah",203580,Medium (50k-500k)
Pirassununga,Brazil,2.344461166,-47.15,-22.3,3,Aw,"Tropical, savannah",289665,Medium (50k-500k)
Americana,Brazil,4.291237853,-47.18333,-23.11667,3,Aw,"Tropical, savannah",320170,Medium (50k-500k)
Piracicaba,Brazil,2.334543329,-47.81667,-23.03333,3,Aw,"Tropical, savannah",93580,Medium (50k-500k)
Registro,Brazil,1.366175864,-47.63333,-24.31667,1,Af,"Tropical, rainforest",53273,Medium (50k-500k)
Tatuí,Brazil,2.334543329,-47.81667,-23.03333,3,Aw,"Tropical, savannah",93580,Medium (50k-500k)
Itu,Brazil,4.291237853,-47.18333,-23.11667,3,Aw,"Tropical, savannah",320170,Medium (50k-500k)
Jaboatao,Brazil,0.185514315,-35.05,-8.01667,3,Aw,"Tropical, savannah",702621,Large (500k-1M)
Olinda,Brazil,0.185514315,-35.05,-8.01667,3,Aw,"Tropical, savannah",702621,Large (500k-1M)
Cabo de Santo Agostinho,Brazil,0.185514315,-35.05,-8.01667,3,Aw,"Tropical, savannah",702621,Large (500k-1M)
Carpina,Brazil,0.185514315,-35.05,-8.01667,3,Aw,"Tropical, savannah",702621,Large (500k-1M)
Gent,Belgium,3.285036184,3.867336,50.762012,14,Cfa,"Temperate, no dry season, hot summer",444336,Medium (50k-500k)
Pol-e Khomri,Afghanistan,0.379181037,68.666664,36.1,6,BSh,"Arid, steppe, hot",218748,Medium (50k-500k)
Wiener Neustadt,Austria,0.57761059,16.474445,48.140556,14,Cfa,"Temperate, no dry season, hot summer",2400000,Very Large (>1M)
Liège,Belgium,1.682006173,5.653654,50.589478,14,Cfa,"Temperate, no dry season, hot summer",749110,Large (500k-1M)
Winona,United States of America,0.030282009,-91.2874,44.0602,25,Dfa,"Cold, no dry season, hot summer",32897,Small (<50k)
Lakeville,United States of America,0.035667361,-93.6419,44.693,25,Dfa,"Cold, no dry season, hot summer",261308,Medium (50k-500k)
Ely,United States of America,6.94328572,-91.65,48.08,25,Dfa,"Cold, no dry season, hot summer",3731,Small (<50k)
Moorhead,United States of America,14.07780266,-96.7959,46.6597,25,Dfa,"Cold, no dry season, hot summer",162842,Medium (50k-500k)
Miles City,United States of America,15.22887811,-105.8453,46.3847,7,BSk,"Arid, steppe, cold",8615,Small (<50k)
Glasgow,United States of America,6.801502135,-106.3645,48.1297,7,BSk,"Arid, steppe, cold",3240,Small (<50k)
Caldwell,United States of America,3.095929995,-116.4426,43.9304,7,BSk,"Arid, steppe, cold",132476,Medium (50k-500k)
Bellingham,United States of America,0.032787355,-122.5893,48.8448,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",99662,Medium (50k-500k)
Walla Walla,United States of America,5.791403427,-118.7297,46.0276,5,BWk,"Arid, desert, cold",45150,Small (<50k)
Aberdeen,United States of America,1.581561309,-123.4949,47.0007,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",32745,Small (<50k)
Yuba City,United States of America,1.108594581,-121.5983,38.7743,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",1604000,Very Large (>1M)
Santa Maria,United States of America,6.255143329,-120.2285,35.0219,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",110705,Medium (50k-500k)
Crescent City,United States of America,0.555254538,-124.0762,41.7915,9,Csb,"Temperate, dry summer, warm summer",11534,Small (<50k)
Pueblo,United States of America,18.43302895,-104.718,38.2717,7,BSk,"Arid, steppe, cold",112195,Medium (50k-500k)
Montrose,United States of America,7.173799529,-108.0784,38.753,5,BWk,"Arid, desert, cold",21789,Small (<50k)
Boulder,United States of America,1.936851421,-104.8683,39.9219,7,BSk,"Arid, steppe, cold",2313000,Very Large (>1M)
Boulder City,United States of America,0.035663331,-114.7386,36.0153,4,BWh,"Arid, desert, hot",15479,Small (<50k)
Socorro,United States of America,28.78506031,-106.8531,34.4092,4,BWh,"Arid, desert, hot",8668,Small (<50k)
Pendleton,United States of America,5.791403427,-118.7297,46.0276,5,BWk,"Arid, desert, cold",45150,Small (<50k)
John Day,United States of America,24.12556982,-118.9038,44.4193,7,BSk,"Arid, steppe, cold",1573,Small (<50k)
Moab,United States of America,9.797202238,-109.1951,38.7972,4,BWh,"Arid, desert, hot",5730,Small (<50k)
Vernal,United States of America,13.32741893,-109.7835,40.2155,5,BWk,"Arid, desert, cold",14353,Small (<50k)
Green River,United States of America,17.15767799,-109.449,41.5164,5,BWk,"Arid, desert, cold",11358,Small (<50k)
Rawlins,United States of America,8.270760657,-107.0575,41.8722,5,BWk,"Arid, desert, cold",8533,Small (<50k)
Thermopolis,United States of America,10.83552351,-108.179,43.425,5,BWk,"Arid, desert, cold",3445,Small (<50k)
Davenport,United States of America,0.1042146,-90.5349,41.767,14,Cfa,"Temperate, no dry season, hot summer",255738,Medium (50k-500k)
Sioux City,United States of America,4.972860766,-96.3122,42.5767,25,Dfa,"Cold, no dry season, hot summer",90932,Medium (50k-500k)
Council Bluffs,United States of America,4.136225001,-95.9225,41.2589,14,Cfa,"Temperate, no dry season, hot summer",101805,Medium (50k-500k)
Ames,United States of America,2.859849149,-93.998,42.2511,25,Dfa,"Cold, no dry season, hot summer",26879,Small (<50k)
Poplar Bluff,United States of America,0.190169918,-90.3882,36.7595,14,Cfa,"Temperate, no dry season, hot summer",20662,Small (<50k)
Joplin,United States of America,9.228835213,-94.5661,37.2456,14,Cfa,"Temperate, no dry season, hot summer",73763,Medium (50k-500k)
Columbia,United States of America,0.271458212,-92.7538,38.9784,14,Cfa,"Temperate, no dry season, hot summer",398093,Medium (50k-500k)
St. Joseph,United States of America,1.838876009,-94.7044,39.6889,14,Cfa,"Temperate, no dry season, hot summer",78012,Medium (50k-500k)
McCook,United States of America,48.87569696,-100.8782,40.2347,7,BSk,"Arid, steppe, cold",8012,Small (<50k)
Scottsbluff,United States of America,2.298316826,-104.0533,41.9886,7,BSk,"Arid, steppe, cold",25475,Small (<50k)
Chadron,United States of America,29.68725385,-102.8357,43.013,7,BSk,"Arid, steppe, cold",5798,Small (<50k)
Ponca City,United States of America,0.040002027,-97.2773,36.8114,14,Cfa,"Temperate, no dry season, hot summer",25273,Small (<50k)
Guymon,United States of America,5.710657176,-101.4896,36.7214,6,BSh,"Arid, steppe, hot",11178,Small (<50k)
Yankton,United States of America,0.742662058,-97.3939,42.8661,25,Dfa,"Cold, no dry season, hot summer",15580,Small (<50k)
Brookings,United States of America,9.840485555,-96.7489,44.18,25,Dfa,"Cold, no dry season, hot summer",22411,Small (<50k)
Mitchell,United States of America,8.895923326,-98.0709,43.9739,25,Dfa,"Cold, no dry season, hot summer",15205,Small (<50k)
Mobridge,United States of America,7.55403625,-100.8182,45.6578,7,BSk,"Arid, steppe, cold",3156,Small (<50k)
Kingsville,United States of America,10.45288234,-97.6253,27.8831,6,BSh,"Arid, steppe, hot",277454,Medium (50k-500k)
Killeen,United States of America,3.346112273,-98.0167,31.0818,6,BSh,"Arid, steppe, hot",137919,Medium (50k-500k)
San Angelo,United States of America,6.585676224,-100.6143,31.3766,6,BSh,"Arid, steppe, hot",88256,Medium (50k-500k)
Bay City,United States of America,0.037486044,-96.1038,29.3091,14,Cfa,"Temperate, no dry season, hot summer",18663,Small (<50k)
Port Lavaca,United States of America,1.699299687,-96.6864,28.96,14,Cfa,"Temperate, no dry season, hot summer",64209,Medium (50k-500k)
New Haven,United States of America,1.735804145,-73.1676,41.384,14,Cfa,"Temperate, no dry season, hot summer",174236,Medium (50k-500k)
Lowell,United States of America,1.502708452,-71.2984,42.6459,14,Cfa,"Temperate, no dry season, hot summer",723629,Large (500k-1M)
Manchester,United States of America,0.14044285,-71.4634,42.9481,14,Cfa,"Temperate, no dry season, hot summer",196566,Medium (50k-500k)
Ocala,United States of America,12.59861887,-82.3495,28.9889,14,Cfa,"Temperate, no dry season, hot summer",141382,Medium (50k-500k)
Apalachicola,United States of America,0.675080543,-85.0155,29.9494,14,Cfa,"Temperate, no dry season, hot summer",2284,Small (<50k)
Natchez,United States of America,0.917371361,-91.1094,31.3247,14,Cfa,"Temperate, no dry season, hot summer",23863,Small (<50k)
Florence,United States of America,1.378562888,-79.5484,34.2043,14,Cfa,"Temperate, no dry season, hot summer",57438,Medium (50k-500k)
Sumter,United States of America,0.486356123,-80.654,34.2446,14,Cfa,"Temperate, no dry season, hot summer",398093,Medium (50k-500k)
Rock Hill,United States of America,1.809609948,-80.8795,34.8363,14,Cfa,"Temperate, no dry season, hot summer",94564,Medium (50k-500k)
Quincy,United States of America,1.377762554,-91.4085,39.6123,14,Cfa,"Temperate, no dry season, hot summer",47108,Small (<50k)
Kankakee,United States of America,2.641193815,-87.8234,41.0089,14,Cfa,"Temperate, no dry season, hot summer",69608,Medium (50k-500k)
Bloomington,United States of America,4.895626746,-86.7819,39.5292,14,Cfa,"Temperate, no dry season, hot summer",100310,Medium (50k-500k)
Kokomo,United States of America,4.341366941,-86.2639,40.782,14,Cfa,"Temperate, no dry season, hot summer",61121,Medium (50k-500k)
Gary,United States of America,9.786468397,-87.3403,41.1828,14,Cfa,"Temperate, no dry season, hot summer",69608,Medium (50k-500k)
Covington,United States of America,1.552345634,-84.5722,39.3912,14,Cfa,"Temperate, no dry season, hot summer",1636000,Very Large (>1M)
Goldsboro,United States of America,5.651393165,-77.5827,35.4291,14,Cfa,"Temperate, no dry season, hot summer",92565,Medium (50k-500k)
Greenville,United States of America,5.651393165,-77.5827,35.4291,14,Cfa,"Temperate, no dry season, hot summer",92565,Medium (50k-500k)
Fayetteville,United States of America,0.066321118,-78.8239,34.8349,14,Cfa,"Temperate, no dry season, hot summer",243306,Medium (50k-500k)
Asheville,United States of America,3.085615558,-82.5923,35.5021,14,Cfa,"Temperate, no dry season, hot summer",142755,Medium (50k-500k)
Winston-Salem,United States of America,1.266286688,-80.3869,35.8567,14,Cfa,"Temperate, no dry season, hot summer",41352,Small (<50k)
Oak Ridge,United States of America,0.879461655,-84.558,35.9831,14,Cfa,"Temperate, no dry season, hot summer",33556,Small (<50k)
Jackson,United States of America,0.02515056,-88.9767,35.2754,14,Cfa,"Temperate, no dry season, hot summer",63196,Medium (50k-500k)
Winchester,United States of America,0.025891166,-78.2108,38.914,14,Cfa,"Temperate, no dry season, hot summer",53941,Medium (50k-500k)
Wheeling,United States of America,0.14954386,-80.7084,40.1051,14,Cfa,"Temperate, no dry season, hot summer",52492,Medium (50k-500k)
Morgantown,United States of America,1.229791816,-79.6653,39.3462,14,Cfa,"Temperate, no dry season, hot summer",58808,Medium (50k-500k)
Beckley,United States of America,4.54953874,-81.0104,37.544,14,Cfa,"Temperate, no dry season, hot summer",37836,Small (<50k)
Wilmington,United States of America,0.041105304,-75.1885,39.9679,14,Cfa,"Temperate, no dry season, hot summer",5492000,Very Large (>1M)
Watertown,United States of America,1.826475305,-75.9246,43.9856,14,Cfa,"Temperate, no dry season, hot summer",33821,Small (<50k)
State College,United States of America,2.677901884,-78.0189,40.4848,14,Cfa,"Temperate, no dry season, hot summer",78607,Medium (50k-500k)
Presque Isle,United States of America,0.145373818,-67.6833,46.7917,25,Dfa,"Cold, no dry season, hot summer",9466,Small (<50k)
Ann Arbor,United States of America,0.516362362,-83.531,41.9606,14,Cfa,"Temperate, no dry season, hot summer",469924,Medium (50k-500k)
Kalamazoo,United States of America,11.91764037,-85.1975,42.3239,14,Cfa,"Temperate, no dry season, hot summer",70820,Medium (50k-500k)
Pontiac,United States of America,5.077908409,-82.9088,42.5959,14,Cfa,"Temperate, no dry season, hot summer",4101000,Very Large (>1M)
Cadillac,United States of America,0.23169414,-85.2553,43.8992,25,Dfa,"Cold, no dry season, hot summer",14097,Small (<50k)
Escanaba,United States of America,12.3259484,-87.2015,45.7555,25,Dfa,"Cold, no dry season, hot summer",17318,Small (<50k)
Lugano,Switzerland,0.334403447,9.0093,46.1938,14,Cfa,"Temperate, no dry season, hot summer",16572,Small (<50k)
Gävle,Sweden,1.860873516,17.1122,60.6794,15,Cfb,"Temperate, no dry season, warm summer",68635,Medium (50k-500k)
Kalmar,Sweden,2.392106102,16.1639,56.9996,15,Cfb,"Temperate, no dry season, warm summer",35024,Small (<50k)
Örebro,Sweden,1.310798516,15.1157,59.534,15,Cfb,"Temperate, no dry season, warm summer",98573,Medium (50k-500k)
Norrköping,Sweden,1.65814554,16.1697,58.5887,14,Cfa,"Temperate, no dry season, hot summer",88639,Medium (50k-500k)
Halmstad,Sweden,1.317038324,13.007,56.8413,15,Cfb,"Temperate, no dry season, warm summer",55657,Medium (50k-500k)
Skellefteå,Sweden,1.572312487,20.9857,64.8347,26,Dfb,"Cold, no dry season, warm summer",31311,Small (<50k)
Chernivtsi,Ukraine,0.600015006,25.719166,48.1675,14,Cfa,"Temperate, no dry season, hot summer",298251,Medium (50k-500k)
Chiang Rai,Thailand,28.59722186,99.8433,19.8533,3,Aw,"Tropical, savannah",117127,Medium (50k-500k)
Uthai Thani,Thailand,0.008807371,100.0353,15.3797,3,Aw,"Tropical, savannah",22219,Small (<50k)
Sisaket,Thailand,5.18680211,104.1617,15.335,3,Aw,"Tropical, savannah",44751,Small (<50k)
Buriram,Thailand,0.007235023,103.29,15.3033,3,Aw,"Tropical, savannah",47292,Small (<50k)
Loei,Thailand,3.346173182,101.6683,17.8967,3,Aw,"Tropical, savannah",35273,Small (<50k)
Nong Khai,Thailand,10.20512536,102.72,17.8767,3,Aw,"Tropical, savannah",104505,Medium (50k-500k)
Sakhon Nakhon,Thailand,0.094122257,104.2567,17.08,3,Aw,"Tropical, savannah",76237,Medium (50k-500k)
Udon Thani,Thailand,0.001053657,102.435,17.1817,3,Aw,"Tropical, savannah",247231,Medium (50k-500k)
Nakhon Phanom,Thailand,2.232703383,104.8033,17.3983,3,Aw,"Tropical, savannah",55377,Medium (50k-500k)
Buon Me Thuot,Vietnam,0.179710509,107.9333,12.35,3,Aw,"Tropical, savannah",349945,Medium (50k-500k)
Kasama,Zambia,1.834123449,30.9667,-10.1833,3,Aw,"Tropical, savannah",200000,Medium (50k-500k)
Chingola,Zambia,3.056626164,27.733334,-12.416667,3,Aw,"Tropical, savannah",82068,Medium (50k-500k)
Chililabombwe,Zambia,3.056626164,27.733334,-12.416667,3,Aw,"Tropical, savannah",82068,Medium (50k-500k)
Lundazi,Zambia,1.894215141,33.416668,-12.116667,3,Aw,"Tropical, savannah",19308,Small (<50k)
Solwezi,Zambia,6.956939381,26.25,-12.4,3,Aw,"Tropical, savannah",65000,Medium (50k-500k)
Mazowe,Zimbabwe,0.829357936,30.616667,-17.616667,6,BSh,"Arid, steppe, hot",9966,Small (<50k)
Kwekwe,Zimbabwe,0.890054157,29.816668,-18.85,6,BSh,"Arid, steppe, hot",99149,Medium (50k-500k)
Beitbridge,Zimbabwe,0.002460399,29.990355,-22.227188,4,BWh,"Arid, desert, hot",26459,Small (<50k)
Masvingo,Zimbabwe,1.548316578,31.066668,-20.083332,6,BSh,"Arid, steppe, hot",76311,Medium (50k-500k)
Golela,eSwatini,0.165912125,31.782612,-27.36325,6,BSh,"Arid, steppe, hot",3695,Small (<50k)
Juticalpa,Honduras,16.74320597,-86.29,14.59,6,BSh,"Arid, steppe, hot",37442,Small (<50k)
Comayagua,Honduras,1.917669874,-87.64,14.74,3,Aw,"Tropical, savannah",71142,Medium (50k-500k)
Aberdeen,United Kingdom,1.091659165,-2.187586,57.218323,15,Cfb,"Temperate, no dry season, warm summer",189364,Medium (50k-500k)
Perth,United Kingdom,0.783016086,-3.54836,56.3476,15,Cfb,"Temperate, no dry season, warm summer",39654,Small (<50k)
Middlesbrough,United Kingdom,0.653582113,-1.601059,54.51837,15,Cfb,"Temperate, no dry season, warm summer",416042,Medium (50k-500k)
Exeter,United Kingdom,0.774152284,-3.511309,50.804173,15,Cfb,"Temperate, no dry season, warm summer",113118,Medium (50k-500k)
Cambridge,United Kingdom,1.491968935,-0.305303,52.167233,15,Cfb,"Temperate, no dry season, warm summer",128488,Medium (50k-500k)
Londonderry/Derry,United Kingdom,0.52935235,-7.459843,54.810352,15,Cfb,"Temperate, no dry season, warm summer",83652,Medium (50k-500k)
York,United Kingdom,1.848289706,-0.885617,54.019245,15,Cfb,"Temperate, no dry season, warm summer",158947,Medium (50k-500k)
Blackpool,United Kingdom,0.427957037,-2.624682,53.76842,15,Cfb,"Temperate, no dry season, warm summer",272792,Medium (50k-500k)
Dumfries,United Kingdom,0.634774894,-3.267726,55.021652,15,Cfb,"Temperate, no dry season, warm summer",31044,Small (<50k)
Ipswich,United Kingdom,2.444221509,0.940368,51.971603,7,BSk,"Arid, steppe, cold",143767,Medium (50k-500k)
Oxford,United Kingdom,4.584260435,-1.301374,51.861343,15,Cfb,"Temperate, no dry season, warm summer",192796,Medium (50k-500k)
Luton,United Kingdom,0.869198295,-0.462178,52.134308,15,Cfb,"Temperate, no dry season, warm summer",235958,Medium (50k-500k)
Portsmouth,United Kingdom,6.622625576,-1.497098,50.968075,9,Csb,"Temperate, dry summer, warm summer",384417,Medium (50k-500k)
Peterborough,United Kingdom,1.491968935,-0.305303,52.167233,15,Cfb,"Temperate, no dry season, warm summer",128488,Medium (50k-500k)
Nottingham,United Kingdom,0.988205389,-1.474993,52.92817,15,Cfb,"Temperate, no dry season, warm summer",825600,Large (500k-1M)
Stoke,United Kingdom,2.403892049,-2.492526,53.16766,15,Cfb,"Temperate, no dry season, warm summer",89531,Medium (50k-500k)
Batman,Turkey,0.727154176,41.29361,37.91639,8,Csa,"Temperate, dry summer, hot summer (Mediterranean)",302074,Medium (50k-500k)
Al Qunaytirah,Syria,3.564597646,35.62,33.18,6,BSh,"Arid, steppe, hot",4318,Small (<50k)
Pécs,Hungary,3.982685866,18.3179,46.4479,7,BSk,"Arid, steppe, cold",34174,Small (<50k)
Vác,Hungary,0.975585414,18.82,48.04,7,BSk,"Arid, steppe, cold",35293,Small (<50k)
Miskolc,Hungary,1.902779845,20.7289,48.3987,14,Cfa,"Temperate, no dry season, hot summer",247757,Medium (50k-500k)
